id:int,value:float
2590000,12.153804
2580000,12.038762
2570000,9.691045
2560000,9.247539
2550000,10.699754
2540000,11.035112
2530000,9.741772
2520000,10.282208
2510000,10.337934
2460000,8.726953
2400000,7.641543
2390000,6.740112
2380000,6.83896
2370000,7.26433
2360000,7.139698
2350000,6.895964
2340000,7.024041
2330000,7.123666
2320000,7.361534
2300000,7.121661
2290000,7.147498
2280000,7.079768
2270000,7.122069
2260000,7.198729
2250000,7.033529
2240000,6.939941
2230000,6.750812
2220000,6.940147
2210000,7.006219
2200000,6.904867
2190000,7.177279
2180000,7.457933
2170000,7.687487
2160000,8.13222
2150000,8.605368
2140000,8.510881
2130000,8.040107
2120000,8.376448
2110000,8.67648
2100000,8.718246
2090000,8.639804
2080000,8.54022
2070000,8.564055
2060000,8.629224
2050000,8.369282
2040000,8.062644
2030000,8.209174
2020000,8.490442
2010000,8.157437
2000000,7.873077
1990000,7.750432
1980000,7.698046
1970000,7.602184
1960000,8.091698
1950000,8.278635
1940000,8.31893
1930000,8.218239
1920000,8.174144
1910000,8.355789
1900000,8.340677
1890000,8.072284
1880000,8.148311
1870000,8.23403
1860000,7.959847
1850000,7.946265
1840000,8.33956
1830000,8.121774
1820000,7.936607
1810000,7.9835
1800000,8.726251
1790000,8.91297
1780000,8.280187
1770000,8.123859
1760000,7.807183
1750000,7.945053
1740000,8.241672
1730000,8.968198
1720000,9.434893
1710000,10.183077
1700000,10.404602
1690000,10.086704
1680000,9.578832
1670000,8.438769
1660000,8.309598
1650000,8.697731
1640000,8.785984
1630000,8.210111
1620000,8.183052
1610000,8.592852
1600000,8.707536
1590000,8.622836
1580000,8.166169
1570000,7.74189
1560000,8.06688
1550000,8.132894
1540000,7.78096
1530000,7.786562
1520000,7.60574
1510000,8.00747
1500000,8.19357
1490000,7.615641
1480000,7.482047
1470000,7.50977
1460000,7.491161
1450000,7.756769
1440000,8.250816
1430000,9.581025
1400000,10.52316
2590001,12.151163
2580001,11.894459
2570001,9.92856
2560001,9.763304
2550001,11.480518
2540001,11.657901
2530001,9.704245
2520001,9.940385
2510001,10.108689
2500001,9.676421
2460001,8.75052
2440001,8.714188
2400001,7.617693
2390001,6.527512
2380001,6.582637
2360001,7.368653
2350001,6.957857
2340001,7.076558
2330001,7.211331
2320001,7.61354
2310001,7.608008
2300001,7.200725
2290001,7.206291
2280001,7.06684
2270001,7.04492
2260001,7.053875
2250001,7.110335
2240001,7.069341
2230001,6.778736
2220001,7.003313
2210001,7.189683
2200001,7.047522
2190001,7.242473
2180001,7.631206
2170001,8.108431
2160001,8.391407
2150001,8.552661
2140001,8.526533
2130001,8.27269
2120001,8.57187
