ts:double,generator:string,voltage:double,noise:double
1.862999916,gen1,0.022763762,0.022763762
1.862999916,gen2,1.005921227,0.005921227
2.86500001,gen1,0.057955791,-0.025281125
2.86500001,gen2,0.989569462,-0.006960325
3.86500001,gen1,0.198183897,0.032287765
3.86500001,gen2,0.983358543,-0.002784688
4.865999937,gen1,0.208394008,-0.039009951
4.865999937,gen2,0.970974803,0.002062382
5.867000103,gen1,0.397476044,0.070281347
5.867000103,gen2,0.923415501,-0.021541445
6.868000031,gen1,0.389586551,-0.015128013
6.868000031,gen2,0.898016964,-0.016426102
7.868999958,gen1,0.480009916,0.000584378
7.868999958,gen2,0.87577638,-0.001806182
8.869999886,gen1,0.581273614,0.030464518
8.869999886,gen2,0.85416458,0.01953332
9.871999979,gen1,0.663129456,0.044759653
9.871999979,gen2,0.796037524,0.010150263
10.87299991,gen1,0.687267098,0.005628338
10.87299991,gen2,0.712088644,-0.019600225
11.87299991,gen1,0.760412599,0.020235745
11.87400007,gen2,0.680840369,0.008428125
12.875,gen1,0.810921747,0.017343944
12.87599993,gen2,0.603355646,-0.005113145
13.87800002,gen1,0.853175631,0.011704646
13.87800002,gen2,0.535886193,-0.004416113
14.87800002,gen1,0.929935599,0.0464116
14.87800002,gen2,0.471694426,0.003308534
15.87899995,gen1,0.888972591,-0.030472389
15.87899995,gen2,0.384927496,-0.008291184
16.88199997,gen1,0.918533588,-0.030451031
16.88199997,gen2,0.314354896,-0.000967466
17.8829999,gen1,1.036812555,0.064874654
17.8829999,gen2,0.192088409,-0.043149165
18.88400006,gen1,1.050594875,0.062449356
18.88400006,gen2,0.11927973,-0.034240405
19.88400006,gen1,1.068980432,0.071485445
19.88400006,gen2,0.084685782,0.01394858
20.88599992,gen1,0.943894477,-0.056026936
20.88599992,gen2,0.026332698,0.038869377
21.88700008,gen1,1.011447903,0.016039945
21.88700008,gen2,-0.090969135,0.004754413
22.88700008,gen1,1.046916741,0.062930794
22.88800001,gen2,-0.184869561,-0.006623506
23.8900001,gen1,0.950404083,-0.015330571
23.8900001,gen2,-0.308632409,-0.049100949
24.89100003,gen1,0.866620289,-0.074160461
24.89100003,gen2,-0.300633589,0.038382016
25.89100003,gen1,0.854256797,-0.05504063
25.89100003,gen2,-0.429704025,-0.013557189
26.89299989,gen1,0.914463421,0.04296023
26.89299989,gen2,-0.497132448,-0.006742616
27.89299989,gen1,0.842934695,0.015274343
27.89299989,gen2,-0.576225289,-0.014995976
28.89400005,gen1,0.718287014,-0.059786183
28.89499998,gen2,-0.600162219,0.028011404
29.89599991,gen1,0.682845154,-0.040240728
29.89700007,gen2,-0.677756662,0.013001478
30.898,gen1,0.637255572,-0.02582447
30.898,gen2,-0.762550114,-0.014001614
31.89899993,gen1,0.561754919,-0.036717225
31.89899993,gen2,-0.804958464,-0.003814849
32.9000001,gen1,0.483372857,-0.046337737
32.9000001,gen2,-0.83499774,0.013180712
33.90100002,gen1,0.433568925,-0.023703702
33.90199995,gen2,-0.87624143,0.013085138
34.90300012,gen1,0.399336937,0.017675945
34.90300012,gen2,-0.949813964,-0.025511586
35.90499997,gen1,0.306492525,0.003092057
35.90499997,gen2,-0.896600216,0.05626292
36.90499997,gen1,0.249211412,0.026177198
36.90499997,gen2,-0.961948231,0.012862386
37.90499997,gen1,0.140317195,-0.000802813
37.90499997,gen2,-1.02526841,-0.035275913
38.9059999,gen1,-0.03213259,-0.090358959
38.9059999,gen2,-1.030643638,-0.032340232
39.90700006,gen1,0.022056083,0.047127469
39.90700006,gen2,-1.002174137,-0.002488474
40.90799999,gen1,-0.0869597,0.021235435
40.90799999,gen2,-0.971300227,0.022829449
41.90899992,gen1,-0.1962642,-0.005696237
41.90899992,gen2,-0.992148054,-0.010474049
42.91000009,gen1,-0.309382397,-0.037764229
42.91100001,gen2,-0.962067881,0.000337216
43.91100001,gen1,-0.332355304,0.018427924
43.91199994,gen2,-0.97345512,-0.036998433
44.91400003,gen1,-0.428239649,-0.000725947
44.91400003,gen2,-0.899026003,0.004982865
45.91499996,gen1,-0.466243952,0.035033097
45.91599989,gen2,-0.861082991,0.004203852
46.91799998,gen1,-0.527961771,0.043599548
46.91799998,gen2,-0.788941269,0.031618089
47.91899991,gen1,-0.571141146,0.066737563
47.91899991,gen2,-0.81325887,-0.04312203
48.91899991,gen1,-0.739668548,-0.039899598
48.91899991,gen2,-0.712569464,0.00179978
49.92000008,gen1,-0.732221891,0.024580604
49.92000008,gen2,-0.657773071,-0.00412945
50.921,gen1,-0.804812858,0.003770651
50.921,gen2,-0.64444579,-0.056064357
51.921,gen1,-0.876197087,-0.021444479
51.921,gen2,-0.546594256,-0.027558631
52.921,gen1,-0.904715402,-0.009726043
52.921,gen2,-0.444942815,0.001144675
53.92199993,gen1,-0.90154062,0.027473882
53.92199993,gen2,-0.39186679,-0.021823473
